Epoch,Training Loss,Validation Loss,IoU,Dice,Pixel Accuracy,Precision,Recall,Specificity
80,0.07743994726075067,0.10023230065902074,"tensor(0.8609, device='cuda:0')","tensor(0.9251, device='cuda:0')","tensor(0.9624, device='cuda:0')","tensor(0.9470, device='cuda:0')","tensor(0.9044, device='cuda:0')","tensor(0.9825, device='cuda:0')"
81,0.07717465278175142,0.10037058095137279,"tensor(0.8608, device='cuda:0')","tensor(0.9251, device='cuda:0')","tensor(0.9624, device='cuda:0')","tensor(0.9465, device='cuda:0')","tensor(0.9049, device='cuda:0')","tensor(0.9823, device='cuda:0')"
82,0.07684100998772515,0.09969132393598557,"tensor(0.8616, device='cuda:0')","tensor(0.9255, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9434, device='cuda:0')","tensor(0.9086, device='cuda:0')","tensor(0.9812, device='cuda:0')"
83,0.07678352130783929,0.09984007726113002,"tensor(0.8617, device='cuda:0')","tensor(0.9256, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9425, device='cuda:0')","tensor(0.9094, device='cuda:0')","tensor(0.9809, device='cuda:0')"
84,0.07672309295998679,0.09972458332777023,"tensor(0.8618, device='cuda:0')","tensor(0.9256, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9426, device='cuda:0')","tensor(0.9095, device='cuda:0')","tensor(0.9809, device='cuda:0')"
85,0.07660772485865487,0.09962534407774608,"tensor(0.8620, device='cuda:0')","tensor(0.9257, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9429, device='cuda:0')","tensor(0.9094, device='cuda:0')","tensor(0.9810, device='cuda:0')"
86,0.07651669449276394,0.09967705607414246,"tensor(0.8619, device='cuda:0')","tensor(0.9257, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.9092, device='cuda:0')","tensor(0.9811, device='cuda:0')"
87,0.07648138453563054,0.09942339609066646,"tensor(0.8623, device='cuda:0')","tensor(0.9260, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9393, device='cuda:0')","tensor(0.9132, device='cuda:0')","tensor(0.9796, device='cuda:0')"
88,0.07653003268771702,0.09964035451412201,"tensor(0.8622, device='cuda:0')","tensor(0.9259, device='cuda:0')","tensor(0.9626, device='cuda:0')","tensor(0.9433, device='cuda:0')","tensor(0.9094, device='cuda:0')","tensor(0.9811, device='cuda:0')"
89,0.0762779638171196,0.09982966631650925,"tensor(0.8619, device='cuda:0')","tensor(0.9257, device='cuda:0')","tensor(0.9626, device='cuda:0')","tensor(0.9459, device='cuda:0')","tensor(0.9066, device='cuda:0')","tensor(0.9821, device='cuda:0')"
90,0.07653720759683186,0.09927007307608922,"tensor(0.8625, device='cuda:0')","tensor(0.9261, device='cuda:0')","tensor(0.9627, device='cuda:0')","tensor(0.9417, device='cuda:0')","tensor(0.9112, device='cuda:0')","tensor(0.9805, device='cuda:0')"
91,0.07645543002420002,0.09927285462617874,"tensor(0.8630, device='cuda:0')","tensor(0.9264, device='cuda:0')","tensor(0.9625, device='cuda:0')","tensor(0.9351, device='cuda:0')","tensor(0.9180, device='cuda:0')","tensor(0.9780, device='cuda:0')"
92,0.07609299818674724,0.10029518852631251,"tensor(0.8612, device='cuda:0')","tensor(0.9253, device='cuda:0')","tensor(0.9626, device='cuda:0')","tensor(0.9489, device='cuda:0')","tensor(0.9031, device='cuda:0')","tensor(0.9832, device='cuda:0')"
93,0.07613230910566118,0.09943085412184398,"tensor(0.8625, device='cuda:0')","tensor(0.9261, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9446, device='cuda:0')","tensor(0.9085, device='cuda:0')","tensor(0.9816, device='cuda:0')"
94,0.07586032980018192,0.09920515865087509,"tensor(0.8629, device='cuda:0')","tensor(0.9263, device='cuda:0')","tensor(0.9627, device='cuda:0')","tensor(0.9415, device='cuda:0')","tensor(0.9117, device='cuda:0')","tensor(0.9805, device='cuda:0')"
95,0.07584317525227864,0.09945797423521678,"tensor(0.8625, device='cuda:0')","tensor(0.9261, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9447, device='cuda:0')","tensor(0.9084, device='cuda:0')","tensor(0.9816, device='cuda:0')"
96,0.07612078305747774,0.09928301473458608,"tensor(0.8628, device='cuda:0')","tensor(0.9262, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9430, device='cuda:0')","tensor(0.9103, device='cuda:0')","tensor(0.9810, device='cuda:0')"
97,0.07575409942203098,0.09923105438550313,"tensor(0.8630, device='cuda:0')","tensor(0.9263, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9428, device='cuda:0')","tensor(0.9106, device='cuda:0')","tensor(0.9809, device='cuda:0')"
98,0.07576419330305523,0.09921676417191823,"tensor(0.8629, device='cuda:0')","tensor(0.9263, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9428, device='cuda:0')","tensor(0.9106, device='cuda:0')","tensor(0.9809, device='cuda:0')"
99,0.07580464581648509,0.0990979125102361,"tensor(0.8631, device='cuda:0')","tensor(0.9264, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9423, device='cuda:0')","tensor(0.9113, device='cuda:0')","tensor(0.9807, device='cuda:0')"
100,0.07574636489152908,0.09913721680641174,"tensor(0.8631, device='cuda:0')","tensor(0.9264, device='cuda:0')","tensor(0.9628, device='cuda:0')","tensor(0.9427, device='cuda:0')","tensor(0.9109, device='cuda:0')","tensor(0.9809, device='cuda:0')"
